"Data Source","World Development Indicators",

"Last Updated Date","2024-06-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Azerbaijan","AZE","Population in largest city","EN.URB.LCTY","1005297","1029427","1054171","1079510","1105494","1132029","1159239","1187103","1215677","1244857","1274298","1303852","1334134","1365033","1396692","1429085","1462275","1496142","1530841","1557576","1574287","1591131","1608178","1625408","1642846","1660424","1678213","1696194","1714392","1727104","1733452","1739823","1746226","1752636","1759077","1765543","1772041","1778545","1785082","1793936","1805977","1818065","1830251","1842519","1854885","1867301","1884268","1905967","1945022","2002541","2061843","2104671","2129670","2154896","2180456","2206320","2232526","2258971","2285729","2313138","2341443","2370776","2401108","2432304",
"Burundi","BDI","Population in largest city","EN.URB.LCTY","45564","49768","54367","59390","64886","70873","75187","79555","84183","89066","94240","100027","106179","112690","119610","126956","134763","143027","151811","161134","167212","172952","178897","185047","191417","197988","204794","211834","219126","226648","234439","242570","251006","259710","268729","278062","287732","297710","308048","318746","329831","341269","353120","365383","388036","412026","437535","464623","493430","523935","556326","590719","627239","666016","707191","750911","797334","846627","898968","954424","1012996","1074642","1139265","1206767",
"Belgium","BEL","Population in largest city","EN.URB.LCTY","1484676","1491853","1499611","1507950","1516347","1524767","1533246","1541772","1550357","1558966","1567635","1576190","1584639","1593109","1601636","1610209","1618840","1627493","1636205","1644963","1653780","1660926","1664730","1668543","1672369","1676195","1680034","1683882","1687744","1691604","1695478","1699362","1703259","1707155","1711065","1714984","1728342","1741767","1755315","1768968","1782747","1796594","1810568","1824651","1838864","1853147","1867561","1882088","1896747","1911480","1926348","1941332","1956453","1971650","1986986","2002441","2018038","2033713","2049510","2065284","2080788","2095688","2109631","2121992",
"Benin","BEN","Population in largest city","EN.URB.LCTY","73080","77928","85036","92962","101640","111100","120007","129628","140036","151247","163372","176470","190638","205900","222408","240239","259527","280304","302776","323820","337106","350898","365275","380240","395841","412036","428918","446491","464809","483826","503649","524284","541575","553242","565177","577370","589843","602550","615549","628829","642413","656253","665557","666784","668016","669246","670480","671716","672957","674196","675440","676685","677935","679183","708578","757922","810702","867158","927545","991000","1056440","1122713","1188736","1252890",
"Burkina Faso","BFA","Population in largest city","EN.URB.LCTY","59126","63090","67325","71845","76676","81816","87309","93170","99434","107102","115374","124284","133897","144223","155361","167360","182337","200214","219871","241459","265200","291201","319792","351190","385721","423537","452238","472181","493032","514742","537441","561141","585920","611721","638696","666861","696309","739213","795344","855737","920808","990628","1065850","1146783","1233987","1327553","1428359","1514246","1586762","1662536","1742041","1825349","1912763","2004106","2099945","2200368","2305593","2415851","2531381","2652720","2780331","2914619","3055788","3203923",
"Bangladesh","BGD","Population in largest city","EN.URB.LCTY","507921","543565","602546","667926","740506","820740","909796","1008515","1118104","1239251","1373718","1522776","1688248","1871169","2056298","2221055","2399267","2591228","2798845","3023097","3265663","3519136","3775135","4049756","4344775","4660384","4999402","5363083","5753775","6171735","6620697","7041281","7344419","7659719","7989018","8332474","8691200","9064318","9454003","9860440","10284947","10695828","11083051","11484292","11900642","12330879","12777296","13239874","13719871","14215877","14730537","15263828","15816426","16389029","16982363","17597177","18234249","18894385","19578421","20283552","21005860","21741090","22478117","23209616",
"Bulgaria","BGR","Population in largest city","EN.URB.LCTY","708061","726557","745562","765065","785106","805615","823420","839217","855339","871726","888449","905494","922889","940570","958614","977004","995774","1014850","1034320","1054162","1074414","1094997","1116004","1137414","1159265","1181474","1192558","1192104","1191649","1191196","1190742","1190289","1189835","1184909","1176648","1168445","1160287","1152209","1144176","1136199","1128266","1120411","1132680","1145963","1157368","1168854","1177565","1185484","1195578","1205730","1215983","1226323","1236765","1244740","1250228","1255741","1261286","1266840","1272418","1276937","1280968","1284311","1286789","1288114",
"Bahrain","BHR","Population in largest city","EN.URB.LCTY","64888","67726","70691","73787","77022","79697","81304","82943","84617","86321","88061","89951","92251","94602","97017","99494","102037","104638","107310","110049","112862","115318","116446","117585","118736","119896","121069","122253","123450","124656","125875","127106","128546","130120","131715","133330","134966","136618","138293","139988","141707","145632","157330","169967","183640","198370","214304","231518","250141","270205","292172","317239","344495","374008","406095","440935","478819","519958","564631","600433","634508","663893","688558","708882",
"Bahamas, The","BHS","Population in largest city","EN.URB.LCTY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Population in largest city","EN.URB.LCTY","169319","174647","180741","187047","193583","200327","207317","214551","222047","229784","237801","245635","252320","259168","266212","273447","280889","288513","296354","304409","312694","319547","321659","323784","325926","328077","330245","332427","334627","336835","339061","340746","340814","340881","340949","341017","341085","341152","341220","341288","341355","341423","341491","341559","341626","341694","341762","341830","341898","341965","342033","342101","342169","342237","342305","342373","342441","342509","342577","342743","343089","343661","344481","345549",
"Belarus","BLR","Population in largest city","EN.URB.LCTY","550710","580833","612649","646207","681653","718938","758319","799856","843731","889881","931566","966515","1002827","1040396","1079428","1119925","1161999","1205532","1250760","1289550","1319711","1350492","1382034","1414313","1447393","1481151","1515745","1551147","1587427","1610396","1617544","1624724","1631945","1639179","1646455","1653763","1661114","1668477","1675883","1685887","1700376","1714949","1729668","1744512","1759505","1774585","1789815","1804472","1818556","1832710","1849991","1868657","1887537","1906555","1925792","1945223","1964877","1984675","2004672","2016677","2028104","2038822","2048575","2057257",
"Belize","BLZ","Population in largest city","EN.URB.LCTY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Population in largest city","EN.URB.LCTY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Population in largest city","EN.URB.LCTY","440242","454541","469325","484591","500375","516628","533432","550782","568722","587195","606294","626014","646405","667401","689109","711523","734698","756115","777365","799212","821704","844765","868507","892915","918045","943809","970334","997604","1025680","1054466","1084100","1114568","1145819","1176412","1207865","1240160","1273364","1307363","1342318","1378207","1415108","1452891","1475375","1494564","1514030","1533695","1553643","1573850","1594348","1615056","1636062","1657342","1678928","1700734","1722823","1745199","1767866","1790827","1814087","1835355","1857797","1881796","1907686","1935619",
"Brazil","BRA","Population in largest city","EN.URB.LCTY","4493182","4681086","4878624","5084497","5299360","5522674","5865661","6262294","6686349","7137833","7620490","8004335","8380068","8772332","9183536","9614016","10065309","10536457","11030355","11547405","12089454","12383528","12628957","12879250","13134858","13394815","13660287","13931020","14207502","14488689","14775840","15068681","15288036","15493544","15702105","15913473","16127983","16344782","16564802","16787782","17014078","17260029","17511506","17766646","18025864","18288134","18554591","18824929","19099587","19377480","19659808","19901875","20143093","20386559","20633309","20883046","21136155","21391624","21650181","21846507","22043028","22237472","22429799","22619736",
"Barbados","BRB","Population in largest city","EN.URB.LCTY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Population in largest city","EN.URB.LCTY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Population in largest city","EN.URB.LCTY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Botswana","BWA","Population in largest city","EN.URB.LCTY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central African Republic","CAF","Population in largest city","EN.URB.LCTY","94350","102334","111006","120413","130626","141662","153199","164523","176702","189744","203770","218832","235031","252379","271035","291069","305885","315594","325626","335977","346672","357676","369045","380776","392897","405369","418254","431550","445286","456973","466876","476994","487345","497892","508682","519706","530984","542475","554231","566242","578530","591050","603859","616945","630334","643975","657931","672189","686777","701639","716845","732380","748273","764467","781034","797960","815276","832920","850946","869599","889231","910270","933176","958335",
"Canada","CAN","Population in largest city","EN.URB.LCTY","2031108","2114517","2176403","2240102","2305756","2373145","2441566","2500090","2560101","2621381","2684215","2744174","2755944","2767733","2779588","2791494","2807079","2855955","2905750","2956414","3008032","3061725","3132656","3205229","3279588","3355459","3433952","3523629","3615776","3710070","3806957","3904154","3975528","4048005","4121907","4197157","4274256","4355039","4437464","4521449","4607142","4693504","4776698","4861366","4947655","5035232","5124530","5215742","5308706","5403064","5499233","5592607","5660142","5728303","5797381","5867292","5938144","6009852","6082425","6139404","6196731","6254571","6312974","6371958",
"Central Europe and the Baltics","CEB","Population in largest city","EN.URB.LCTY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Population in largest city","EN.URB.LCTY","535471","546473","562653","579311","596487","614123","632305","651026","670328","690147","710580","718557","717235","715920","714605","713293","711982","710676","709371","708068","706766","721451","748589","776748","806007","836284","867741","900382","934299","969394","1005859","1027960","1038718","1049558","1060527","1071610","1082824","1094125","1105559","1117113","1128804","1140845","1153230","1165750","1178424","1191200","1204132","1217204","1230437","1243777","1257280","1270929","1284746","1298675","1312774","1327026","1341453","1356037","1370779","1383092","1395356","1407572","1419621","1431538",
"Channel Islands","CHI","Population in largest city","EN.URB.LCTY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
