"Data Source","World Development Indicators",

"Last Updated Date","2024-06-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Population in the largest city (% of urban population)","EN.URB.LCTY.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Population in the largest city (% of urban population)","EN.URB.LCTY.UR.ZS","23.6531457099773","23.904915865631","24.1787510923798","24.4189424821144","24.6869630732957","24.9781719977798","25.2862075576136","25.5938153796908","25.9025392656657","26.1851138482673","26.4072070258912","26.5216344951642","26.6120662208901","26.6963121085519","26.7619220405151","26.8130513341696","26.8410486038223","26.8857079590229","26.8837862548717","26.8415619910031","26.9543882329329","27.0727082323282","27.1854417629803","27.3549371757319","27.545477498716","27.5853671570275","27.5390414843406","27.494745839125","27.5064882548319","27.5361054700668","27.553245793429","27.6944252971188","27.8398112886532","27.8978900976771","27.7991040683307","27.7338923538559","27.7992653998386","27.9137015492687","28.0094683740857","28.0705166497645","28.1210580535965","28.1641042443915","28.2020180140945","28.2153731953226","28.2324882626101","28.2321180344695","28.2708720472363","28.0853223445177","28.1194027186923","28.1603763360707","28.204889085566","28.2546105204385","28.311126287733","28.3703838789924","28.4443721721279","28.4097895426153","28.4234208173564","28.471018771354","28.4489308425276","28.4055577117599","28.3738854896779","28.3701885802463","28.3916434678374","28.4192212831657",
"Afghanistan","AFG","Population in the largest city (% of urban population)","EN.URB.LCTY.UR.ZS","39.3929646742769","39.348203150382","39.2736211620968","39.1818903143932","39.0693784705961","38.9313355824568","38.7801927662223","38.5693627960607","38.2859052976575","37.9956459052748","37.691937813107","37.4034900650649","37.7320827080445","38.6570678385978","39.6191651280783","40.6571678900427","41.8237328532903","43.0650201024533","44.4057716369282","46.4949098787995","48.9588366328082","55.4980371015679","62.1579811762829","63.8449247034682","62.8570426199985","62.090969135311","63.342548366747","64.7852968456794","65.1025836127649","65.8851817920896","68.4075719356404","70.8380542014742","65.684336848728","58.8388280120388","55.4663648417658","54.3228897039398","54.2513634310273","54.2761621221949","54.3227076037936","54.261829034764","55.6495005446497","57.470961261903","56.061573516423","54.0939052910527","53.4773996806143","52.4204210229638","51.0993674735747","50.9938650716632","50.7858817298501","49.7947530852222","49.1528506368341","48.1349224251305","46.9587883001904","46.0905889388008","45.1553748258781","44.4767841870643","44.0485835472253","43.4812565340546","42.8915111849342","42.2942695383656","41.6205088222683","41.0904443348473","40.7230254884654","40.3347438482621",
"Africa Western and Central","AFW","Population in the largest city (% of urban population)","EN.URB.LCTY.UR.ZS","20.8938848451901","21.5419210221022","22.1591088215086","22.7261505047052","23.1583318192689","23.4822652892687","23.8581026671313","24.2530187566089","24.6811642677083","25.1715948031327","25.6851744384686","26.1197032953323","26.688232838099","27.1739753944365","27.5793438940267","27.9805318774193","28.3115449326751","28.5984002880087","28.7686370451581","28.8264961812154","28.8692786088825","28.7860749968294","28.7196579732519","28.7272180711738","28.7952620734338","28.8421474688868","28.8781464152998","28.9199591898282","28.9714631764038","28.9723279307447","29.0670162453899","29.2380979945369","28.908167635914","28.515214225286","28.2107625961592","27.9645485490419","28.3508398685019","28.2044330490269","28.063350521523","27.929299478998","27.898918533758","27.7502994833483","27.5940359150698","27.4323658156626","27.2788010525555","26.9226306802274","26.546560104335","26.143943252088","25.7776173203983","25.4746062161273","25.1617655856592","24.8783278405739","24.65979625174","24.4672274513347","24.30462599457","24.1672920238817","24.0441967927552","23.9330831997222","23.8404881621939","23.7195371945759","23.616227421043","23.5385792102836","23.4843937510029","23.4444725711087",
"Angola","AGO","Population in the largest city (% of urban population)","EN.URB.LCTY.UR.ZS","39.2518733576257","39.6786683799814","40.6346081103363","41.6391160872852","42.7254946102322","43.9296140258915","45.2838235882126","46.7704190737608","48.3198745532427","49.7656054646878","50.9196528958976","50.5998367847423","49.082607350599","47.4896635789134","45.9461795039534","44.4912605178198","43.1283779017165","41.8160882970101","40.534518049058","39.3026525919878","38.1094694508741","36.9573653296799","35.8525100209322","34.7992326627463","34.4879864490938","34.2049471600096","33.9658899611443","33.7981606528055","33.6844613227851","33.5946129699052","33.5451172595592","33.5306133393135","33.5725353202862","33.6714818573047","33.5228471188474","33.6263403995148","33.7370984414332","33.8620376565246","34.0270129117643","34.2305125998638","34.4503558148082","34.672978436169","34.9013324639014","35.1236880969408","35.3361391691999","35.5477332782987","36.0248025526715","36.5000602340173","36.9809321170839","37.4633518925761","37.9477213716595","38.4377080346006","38.9464983424768","39.4739306218042","39.8954405417315","39.3547004653278","38.8475206333621","38.3691006450614","37.9441348242349","37.57354873284","37.2888328742025","37.0844851871732","36.9489913426442","36.8777955241452",
"Albania","ALB","Population in the largest city (% of urban population)","EN.URB.LCTY.UR.ZS","27.2805486839601","26.8138911821056","26.2942615013019","25.8125155129871","25.3577190896739","24.9418758392373","24.5624895711664","24.1902294032467","23.7737528383895","23.3728166545613","23.1238962468335","22.9071333591928","22.6767816232313","22.4780523026728","22.2963335191568","22.1154286179176","21.9576739195997","21.7989470129514","21.6724899311739","21.565405587851","21.4654369706913","21.3755494532152","21.2638205825202","21.1510769402989","21.044465430884","20.9476342792755","20.878220984351","20.7957579967752","20.7382670551785","20.5500531203948","20.6536465250388","21.2624446164522","21.7293239299209","22.2096071587252","22.7041873879264","23.2143044294618","23.739682275665","24.2807521972939","24.8385705085915","25.4140123904855","26.0073166324257","26.5442974809485","26.4677295399406","26.4232592881268","26.4029242423804","26.4196353579697","26.4804463807739","26.586583016501","26.7090495944053","26.8204860693124","26.8964718440507","26.9245711988074","26.9370625997913","26.9777768076807","27.0449580674785","27.1560704332358","27.2514695756041","27.3479864857341","27.5063925379807","27.7309419298429","28.0097240227045","28.3953824899265","28.8667699693816","29.3159449373725",
"Andorra","AND","Population in the largest city (% of urban population)","EN.URB.LCTY.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Population in the largest city (% of urban population)","EN.URB.LCTY.UR.ZS","33.6750219869271","33.8400015956881","34.0244329259612","34.2121704629203","34.4293627965715","34.6530289163957","34.7822833762938","34.7011409823317","34.6362547313442","34.6000232228322","34.5852260874541","34.6212861916544","34.6731897016594","34.7458369767508","34.788858171285","34.7633884825225","34.3430354798263","33.9120500950414","33.6076146084465","33.2590574822499","32.807599947428","32.4199333186335","32.0719446221654","31.6514998120424","31.2553310881529","30.9306465431855","30.6304905977383","30.4788952904384","30.5075733252877","30.4964106974278","30.6081357845345","30.7270226171299","30.7643586040164","30.6766233440446","30.5451526562707","30.4781523545534","30.4816868072337","30.3853110886973","30.2764273030483","30.1756482602955","30.0829153839752","30.0045256892244","30.0038693190269","29.9539610290697","29.7455928993158","29.5200469147131","29.2474663144165","28.7881941754376","28.6538550591136","28.5492241537135","28.4758828751975","28.1286192309742","28.1419775876074","28.0818348525631","28.0358724492275","28.0608354182072","28.141712404653","28.2241488741874","28.299743908666","28.2186449459964","28.240676343504","28.2934719545564","28.2697682743793","28.2258876038289",
"United Arab Emirates","ARE","Population in the largest city (% of urban population)","EN.URB.LCTY.UR.ZS","34.2201329689603","33.6985543731167","33.2205629000152","32.8046136719371","32.4629770902313","32.1779686111934","31.9463443231624","31.7702497858037","30.7930156420517","30.5984107035062","30.6384552971989","31.2424296434248","32.3368784133372","33.8579950844889","35.8141015843904","38.2127076664791","38.1015841188721","35.6588572296455","33.7205975817763","32.1988802220414","31.0788355379393","30.6461497558744","30.7112597594833","30.8301967347152","31.0269769485342","31.3019506324227","31.3386378892371","31.1809216934225","31.1611030261653","31.25731995552","31.4695943247","31.787964549278","32.2122053536716","32.7332687954997","33.3622979838743","34.0850611795255","34.3543705930969","34.218360119406","34.206582468458","34.306771594938","34.5118866238761","34.8073911434492","35.2012682915237","35.6875754774553","36.2671045061352","35.9990970090555","33.7154053162251","30.3093816202997","27.4539587535638","25.8738570489452","26.2859140274481","27.209862081969","28.1872546716643","29.2120616061098","30.2919405654498","31.4297835554955","32.6294846893099","33.8934545283449","35.2211113017698","35.4369423262021","35.6036855677212","35.7325227338944","35.8664825661025","36.0025133430072",
"Argentina","ARG","Population in the largest city (% of urban population)","EN.URB.LCTY.UR.ZS","45.1401534748809","45.080743731008","44.9944808864585","44.9190094019353","44.8614040378181","44.8191384003002","44.786276100259","44.7628332718463","44.7535428027714","44.7538517907671","44.7497163719666","44.5822173633224","44.3628515441499","44.1262947557397","43.8712193359544","43.640589998244","43.4459922105829","43.2520533221587","43.0603816957126","42.8761876945295","42.7044471033907","42.3662669777703","41.9636509028369","41.5774947847655","41.2094562484058","40.8589230889772","40.5185729923225","40.1863221224355","39.8631348502508","39.554748097927","39.2664551803235","39.0054015134448","38.8174570041844","38.6425745248159","38.474393858148","38.3201879864023","38.1900881563553","38.0848054592083","37.9971164378156","37.9129896191844","37.8381994181439","37.7766819639228","37.7704105604545","37.8085399791682","37.8548298625121","37.8943188485711","37.9350693044171","37.9880378901898","38.0480711340419","38.0998087298781","38.4442699573202","38.2604784860788","37.9961446073599","37.7410622908127","37.4954324954567","37.2602857528495","37.0355002157457","36.8197273819288","36.6134837504002","36.4233895896017","36.2555509379982","36.1137338587997","35.9980956743083","35.9087908693508",
