Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
1837,5,-1.113,2.266,-1.565,1.279,-1.24,0.802,-0.894,0.381,NaN,NaN
1837,6,-2.524,2.753,-1.637,1.342,-1.248,0.783,-0.887,0.378,NaN,NaN
1837,7,-1.433,2.135,-1.697,1.218,-1.244,0.768,-0.879,0.376,NaN,NaN
1837,8,-1.342,1.571,-1.602,0.978,-1.248,0.728,-0.878,0.375,NaN,NaN
1837,9,-1.618,1.271,-1.595,1.067,-1.246,0.705,-0.89,0.378,NaN,NaN
1837,10,-1.132,1.254,-1.514,1.096,-1.235,0.682,-0.889,0.379,NaN,NaN
1837,11,-1.559,2.14,-1.575,1.08,-1.212,0.664,-0.89,0.374,NaN,NaN
1837,12,-1.942,3.176,-1.41,0.952,-1.199,0.66,-0.884,0.367,NaN,NaN
1838,1,-1.643,2.783,-1.309,0.84,-1.21,0.706,-0.876,0.363,NaN,NaN
1838,2,-0.867,1.404,-1.356,0.904,-1.233,0.757,-0.874,0.359,NaN,NaN
1838,3,-2.052,2.337,-1.306,0.922,-1.201,0.742,-0.877,0.359,NaN,NaN
1838,4,-0.938,1.912,-1.266,0.94,-1.174,0.709,-0.888,0.363,NaN,NaN
1838,5,-1.847,1.591,-1.233,0.936,-1.166,0.69,-0.876,0.354,NaN,NaN
1838,6,-0.544,0.906,-1.084,0.761,-1.138,0.663,-0.885,0.355,NaN,NaN
1838,7,-0.224,1.406,-1.039,0.903,-1.144,0.646,-0.896,0.358,NaN,NaN
1838,8,-1.903,2.992,-1.04,1.188,-1.172,0.661,-0.901,0.359,NaN,NaN
1838,9,-1.017,1.403,-1.013,1.018,-1.169,0.617,-0.907,0.358,NaN,NaN
1838,10,-0.651,1.633,-0.996,1.04,-1.136,0.578,-0.913,0.361,NaN,NaN
1838,11,-1.162,1.318,-0.893,1.002,-1.11,0.552,-0.934,0.368,NaN,NaN
1838,12,-0.16,1.532,-0.926,1.011,-1.107,0.563,-0.939,0.385,NaN,NaN
1839,1,-1.102,2.721,-1.018,1.176,-1.124,0.596,-0.937,0.405,NaN,NaN
1839,2,-0.875,3.437,-0.962,1.185,-1.14,0.613,-0.943,0.408,NaN,NaN
1839,3,-1.731,1.935,-1.055,1.227,-1.124,0.595,-0.943,0.399,NaN,NaN
1839,4,-0.737,1.802,-1.192,1.357,-1.119,0.581,-0.948,0.404,NaN,NaN
1839,5,-0.61,1.103,-1.268,1.368,-1.11,0.579,-0.965,0.414,NaN,NaN
1839,6,-0.945,1.095,-1.352,1.344,-1.131,0.594,-0.958,0.413,NaN,NaN
1839,7,-1.328,2.889,-1.309,1.311,-1.125,0.565,-0.965,0.417,NaN,NaN
1839,8,-1.231,2.95,-1.242,0.965,-1.098,0.517,-0.964,0.414,NaN,NaN
1839,9,-2.131,1.524,-1.265,1.045,-1.053,0.496,-0.973,0.418,NaN,NaN
1839,10,-2.298,2.453,-1.25,0.967,-1.013,0.483,-0.966,0.414,NaN,NaN
1839,11,-2.07,1.272,-1.171,0.897,-1.001,0.472,-0.968,0.398,NaN,NaN
1839,12,-1.172,2.348,-1.13,0.842,-0.947,0.448,-0.976,0.398,NaN,NaN
1840,1,-0.58,2.191,-1.064,0.748,-0.916,0.431,-0.97,0.384,NaN,NaN
1840,2,-0.073,2.205,-1.113,0.667,-0.911,0.431,-0.985,0.383,NaN,NaN
1840,3,-2.008,1.989,-0.991,0.56,-0.93,0.436,-0.975,0.374,NaN,NaN
1840,4,-0.554,1.028,-0.794,0.537,-0.935,0.436,-0.965,0.367,NaN,NaN
1840,5,0.341,1.452,-0.693,0.66,-0.929,0.439,-0.963,0.367,NaN,NaN
1840,6,-0.449,1.239,-0.604,0.722,-0.909,0.442,-0.959,0.367,NaN,NaN
1840,7,-0.545,1.83,-0.621,1.01,-0.878,0.442,-0.962,0.376,NaN,NaN
1840,8,-1.811,2.075,-0.732,0.828,-0.844,0.442,-0.963,0.386,NaN,NaN
1840,9,-0.673,1.364,-0.554,1.152,-0.817,0.417,-0.951,0.388,NaN,NaN
1840,10,0.063,4.028,-0.488,1.421,-0.813,0.389,-0.953,0.391,NaN,NaN
1840,11,-0.854,2.843,-0.563,1.329,-0.767,0.37,-0.951,0.397,NaN,NaN
1840,12,-0.101,2.896,-0.609,1.324,-0.778,0.374,-0.952,0.4,NaN,NaN
1841,1,-0.788,2.559,-0.617,1.309,-0.804,0.387,-0.942,0.408,NaN,NaN
1841,2,-1.409,2.884,-0.556,1.318,-0.781,0.376,-0.941,0.405,NaN,NaN
1841,3,0.126,4.529,-0.624,1.256,-0.773,0.363,-0.932,0.404,NaN,NaN
1841,4,0.248,3.738,-0.749,0.918,-0.777,0.368,-0.924,0.399,NaN,NaN
1841,5,-0.564,0.833,-0.789,0.825,-0.773,0.376,-0.908,0.39,NaN,NaN
1841,6,-0.996,1.452,-0.978,0.698,-0.77,0.382,-0.898,0.392,NaN,NaN
1841,7,-0.651,1.939,-0.959,0.596,-0.761,0.374,NaN,NaN,NaN,NaN
1841,8,-1.076,1.338,-0.873,0.525,-0.762,0.382,NaN,NaN,NaN,NaN
1841,9,-1.492,0.937,-0.836,0.574,-0.743,0.369,NaN,NaN,NaN,NaN
1841,10,-1.429,1.605,-0.82,0.659,-0.746,0.375,NaN,NaN,NaN,NaN
1841,11,-1.343,1.061,-0.801,0.614,-0.755,0.374,NaN,NaN,NaN,NaN
1841,12,-2.36,2.589,-0.662,0.442,-0.752,0.375,NaN,NaN,NaN,NaN
1842,1,-0.566,1.988,-0.573,0.452,-0.739,0.38,NaN,NaN,NaN,NaN
1842,2,-0.375,1.476,-0.568,0.491,-0.738,0.392,NaN,NaN,NaN,NaN
1842,3,0.575,1.247,-0.674,0.432,-0.728,0.402,NaN,NaN,NaN,NaN
1842,4,0.442,1.203,-0.674,0.434,-0.702,0.404,NaN,NaN,NaN,NaN
1842,5,-0.347,1.052,-0.662,0.437,-0.696,0.407,NaN,NaN,NaN,NaN
1842,6,0.675,3.079,-0.528,0.431,-0.705,0.393,NaN,NaN,NaN,NaN
1842,7,0.419,2.245,-0.464,0.482,-0.696,0.411,NaN,NaN,NaN,NaN
1842,8,-1.021,1.001,-0.334,0.55,-0.722,0.404,NaN,NaN,NaN,NaN
1842,9,-2.763,2.664,-0.414,0.577,-0.704,0.408,NaN,NaN,NaN,NaN
1842,10,-1.427,1.372,-0.511,0.587,NaN,NaN,NaN,NaN,NaN,NaN
1842,11,-1.194,1.198,-0.409,0.607,NaN,NaN,NaN,NaN,NaN,NaN
1842,12,-0.76,1.971,-0.564,0.528,NaN,NaN,NaN,NaN,NaN,NaN
1843,1,0.208,1.544,-0.749,0.638,NaN,NaN,NaN,NaN,NaN,NaN
1843,2,1.191,1.776,-0.705,0.583,NaN,NaN,NaN,NaN,NaN,NaN
1843,3,-0.397,1.276,-0.518,0.512,NaN,NaN,NaN,NaN,NaN,NaN
1843,4,-0.711,1.382,-0.473,0.513,NaN,NaN,NaN,NaN,NaN,NaN
1843,5,0.877,3.878,-0.454,0.492,NaN,NaN,NaN,NaN,NaN,NaN
1843,6,-1.195,1.103,-0.389,0.467,NaN,NaN,NaN,NaN,NaN,NaN
1843,7,-1.798,2.593,-0.451,0.488,NaN,NaN,NaN,NaN,NaN,NaN
1843,8,-0.496,1.298,-0.63,0.45,NaN,NaN,NaN,NaN,NaN,NaN
1843,9,-0.509,1.527,-0.647,0.472,NaN,NaN,NaN,NaN,NaN,NaN
1843,10,-0.891,1.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1843,11,-0.965,1.043,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1843,12,0.014,1.971,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1844,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1844,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1844,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1844,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1844,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1844,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1844,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1844,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1844,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1844,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1844,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1844,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1845,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1845,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1845,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1845,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1845,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1845,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1845,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1845,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1845,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1845,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1845,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1845,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1846,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1846,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1846,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1846,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1846,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1846,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1846,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1846,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1846,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1846,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1846,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1846,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1847,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1847,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1847,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1847,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1847,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1847,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1847,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1847,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1847,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1847,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1847,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1847,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1848,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1848,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1848,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1848,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1848,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1848,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1848,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1848,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1848,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1848,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1848,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1848,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1849,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1849,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1849,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1849,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1849,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1849,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1849,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1849,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1849,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1849,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1849,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1849,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1850,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1850,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1850,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1850,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1850,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1850,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1850,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1850,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1850,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1850,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1850,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1850,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1851,1,-0.361,1.203,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1851,2,-0.537,1.106,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1851,3,-1.095,0.905,-0.721,0.513,NaN,NaN,NaN,NaN,NaN,NaN
1851,4,0.805,3.103,-0.697,0.556,NaN,NaN,NaN,NaN,NaN,NaN
1851,5,-0.297,1.307,-0.7,0.576,NaN,NaN,NaN,NaN,NaN,NaN
1851,6,-0.812,1.471,-0.788,0.781,NaN,NaN,NaN,NaN,NaN,NaN
1851,7,0.182,0.973,-0.861,0.926,NaN,NaN,NaN,NaN,NaN,NaN
1851,8,-1.027,1.432,-0.901,0.972,NaN,NaN,NaN,NaN,NaN,NaN
1851,9,-1.909,2.298,-0.823,0.82,NaN,NaN,NaN,NaN,NaN,NaN
1851,10,-1.118,2.328,-0.913,0.983,NaN,NaN,NaN,NaN,NaN,NaN
1851,11,-1.411,1.329,-0.885,0.973,NaN,NaN,NaN,NaN,NaN,NaN
1851,12,-1.873,3.301,-0.813,0.836,NaN,NaN,NaN,NaN,NaN,NaN
1852,1,-1.242,2.508,-0.822,0.841,NaN,NaN,NaN,NaN,NaN,NaN
